"","Bifidobacterium","Allobaculum"
"X5xfad_1_AD_BL_2_1",0,0
"X5xfad_1_AD_BL_2_2",0,0
"X5xfad_1_AD_BL_2_3",0,0
"X5xfad_1_AD_BL_2_4",0,0
"X5xfad_1_AD_BL_3_1",0.00154781336185062,0.200568469634716
"X5xfad_1_AD_BL_3_2",0,0.00435879227171438
"X5xfad_1_AD_BL_3_3",0,0.0190204618807383
"X5xfad_1_AD_BL_3_4",0.00218008852480677,0.00237827839069829
"X5xfad_1_AD_BL_4_1",0.000917694293088615,0.002982506452538
"X5xfad_1_AD_BL_4_2",0.00077235981669327,0.000437670562792853
"X5xfad_1_AD_BL_4_3",0.000798744043848294,0.00231360343735368
"X5xfad_1_AD_BL_4_4",0.000849120135859222,0.00243024038883846
"X5xfad_1_AD_BL_5_1",0.00262548262548263,0.00355212355212355
"X5xfad_1_AD_BL_5_2",0.00934427825184128,0.011939911099575
"X5xfad_1_AD_BL_5_3",0.00610362445564585,0.00720090525666084
"X5xfad_1_AD_BL_5_4",0.00329726615020168,0.0211281131954671
"X5xfad_1_AD_BL_6_1",0.00189910661745038,0.00438666880650511
"X5xfad_1_AD_BL_6_2",0.00166731796274586,0.00145890321740263
"X5xfad_1_AD_BL_6_3",0.00210296326642087,0.00873958760071009
"X5xfad_1_AD_BL_6_4",0.00235334918747523,0.00356718192627824
"X5xfad_1_AD_CD_2_1",0,0.000182459554798686
"X5xfad_1_AD_CD_2_2",0.000211646610630707,0
"X5xfad_1_AD_CD_2_3",0,0
"X5xfad_1_AD_CD_2_4",0,0
"X5xfad_1_AD_CD_2_5",0,0
"X5xfad_1_AD_CD_2_6",0,0
"X5xfad_1_AD_CD_3_1",0.0028999190720259,0.0029336390612355
"X5xfad_1_AD_CD_3_2",0.00124884778924207,0.000683892836965895
"X5xfad_1_AD_CD_3_3",0.000755833059480776,0.0337824515280973
"X5xfad_1_AD_CD_3_4",0.0054800842202417,0.051022468345303
"X5xfad_1_AD_CD_3_5",0,0.000594586136754811
"X5xfad_1_AD_CD_3_6",0,0.00484472651518822
"X5xfad_1_AD_CD_4_1",0.000569278748576803,0.000569278748576803
"X5xfad_1_AD_CD_4_2",0.000428978778167504,0.000201872366196472
"X5xfad_1_AD_CD_4_3",0.000392031950603974,0
"X5xfad_1_AD_CD_4_4",0.0013078669430461,0.000148060408646728
"X5xfad_1_AD_CD_4_5",0.00117953641475792,0.000850363461802222
"X5xfad_1_AD_CD_4_6",0.00160359204618345,0.000133632670515288
"X5xfad_1_AD_CD_5_1",0,0.000293925538863488
"X5xfad_1_AD_CD_5_2",0.000226500566251416,0
"X5xfad_1_AD_CD_5_3",0,0
"X5xfad_1_AD_CD_5_4",0,0
"X5xfad_1_AD_CD_5_5",0.000674991562605467,0.0338170772865339
"X5xfad_1_AD_CD_5_6",0,0
"X5xfad_1_AD_CD_6_1",0.00018187329493786,0.000525411740931595
"X5xfad_1_AD_CD_6_2",0.00019043588658485,0.014727041895895
"X5xfad_1_AD_CD_6_3",0,0
"X5xfad_1_AD_CD_6_4",0,0.000195513845935089
"X5xfad_1_AD_CD_6_5",0,0.00858424362083396
"X5xfad_1_AD_CD_6_6",0,0.00407800702547745
